ElapsedTime,Class1,Class2,Class3,Class4,BestClass
45.55636,71.08578,69.17135,76.26865,62.50172,3
45.57252,71.08578,69.17135,76.26865,62.50172,3
45.58953,71.08578,69.17135,76.26865,62.50172,3
45.60653,71.08578,69.17135,76.26865,62.50172,3
45.62353,71.08578,69.17135,76.26865,62.50172,3
45.63987,71.08578,69.17135,76.26865,62.50172,3
45.65672,71.08578,69.17135,76.26865,62.50172,3
45.67361,71.08578,69.17135,76.26865,62.50172,3
45.6906,71.08578,69.17135,76.26865,62.50172,3
45.70759,71.08578,69.17135,76.26865,62.50172,3
45.72456,58.88215,57.15875,73.74191,63.1947,1
45.7416,58.88215,57.15875,73.74191,63.1947,1
45.75866,58.88215,57.15875,73.74191,63.1947,1
45.77467,58.88215,57.15875,73.74191,63.1947,1
45.79165,58.88215,57.15875,73.74191,63.1947,1
45.80862,58.88215,57.15875,73.74191,63.1947,1
45.82562,58.88215,57.15875,73.74191,63.1947,1
45.84206,58.88215,57.15875,73.74191,63.1947,1
45.85891,58.88215,57.15875,73.74191,63.1947,1
45.87586,58.88215,57.15875,73.74191,63.1947,1
45.89261,58.88215,57.15875,73.74191,63.1947,1
45.90995,58.88215,57.15875,73.74191,63.1947,1
45.92631,58.88215,57.15875,73.74191,63.1947,1
45.94316,58.88215,57.15875,73.74191,63.1947,1
45.96017,58.88215,57.15875,73.74191,63.1947,1
45.98291,58.88215,57.15875,73.74191,63.1947,1
45.99414,58.88215,57.15875,73.74191,63.1947,1
46.01056,58.88215,57.15875,73.74191,63.1947,1
46.02741,58.88215,57.15875,73.74191,63.1947,1
46.04428,58.88215,57.15875,73.74191,63.1947,1
46.06111,58.88215,57.15875,73.74191,63.1947,1
46.07837,58.88215,57.15875,73.74191,63.1947,1
46.09481,58.88215,57.15875,73.74191,63.1947,1
46.11166,58.88215,57.15875,73.74191,63.1947,1
46.12859,58.88215,57.15875,73.74191,63.1947,1
46.14555,58.88215,57.15875,73.74191,63.1947,1
46.1622,58.88215,57.15875,73.74191,63.1947,1
46.17905,58.88215,57.15875,73.74191,63.1947,1
46.1959,58.88215,57.15875,73.74191,63.1947,1
46.2137,58.88215,57.15875,73.74191,63.1947,1
46.22977,58.88215,57.15875,73.74191,63.1947,1
46.24645,58.88215,57.15875,73.74191,63.1947,1
46.2633,58.88215,57.15875,73.74191,63.1947,1
46.28015,58.88215,57.15875,73.74191,63.1947,1
46.297,58.88215,57.15875,73.74191,63.1947,1
46.31405,58.88215,57.15875,73.74191,63.1947,1
46.33069,58.88215,57.15875,73.74191,63.1947,1
46.34798,58.88215,57.15875,73.74191,63.1947,1
46.36439,58.88215,57.15875,73.74191,63.1947,1
46.38124,58.88215,57.15875,73.74191,63.1947,1
